Tiempo;Emoción
19.732075929641724;Felicidad
0.6153397560119629;Enojo
0.12960433959960938;Tristeza
33.984535217285156;Serio
5.582275629043579;Dormir
19.732075929641724;Felicidad
0.6153397560119629;Enojo
0.12960433959960938;Tristeza
70.78746128082275;Serio
28.86812114715576;Dormir
1.015939712524414;Felicidad
0;Enojo
1.7347958087921143;Tristeza
28.13585925102234;Serio
29.19105863571167;Dormir
33.36042785644531;Felicidad
18.408010244369507;Enojo
0;Tristeza
6.102799892425537;Serio
2.159935712814331;Dormir
0;Felicidad
4.457336902618408;Enojo
0;Tristeza
39.41803336143494;Serio
16.2539644241333;Dormir
0;Felicidad
0;Enojo
0;Tristeza
52.57390069961548;Serio
7.546213626861572;Dormir
1.431201457977295;Felicidad
0;Enojo
0;Tristeza
55.50184226036072;Serio
3.105574607849121;Dormir
15.492722034454346;Felicidad
0;Enojo
0;Tristeza
22.61426830291748;Serio
22.02873992919922;Dormir
1.5148875713348389;Felicidad
3.364468812942505;Enojo
37.17294931411743;Tristeza
17.402035236358643;Serio
0.6502048969268799;Dormir
